repeat_simulation_ith,dist_between_rope_and_UAV,wind_field
1,0.550035862252918,0
2,0.703783466423914,0
3,0.705456851770324,0
4,0.706539914799506,0
5,0.709108729717023,0
6,0.71024736421557,0
7,0.709298458737896,0
8,0.706767056044334,0
9,0.699899466782367,0
10,0.700891927940369,0
11,0.720959261418183,0
12,0.713578566181882,0
13,0.712644423690411,0
14,0.727769922010221,0
15,0.728834876911478,0
16,0.728980718481816,0
17,0.717060943555485,0
18,0.705876510197703,0
19,0.713154380139601,0
20,0.726856523861378,0
