t,x_s1,x_s2,x_s3,x_s_d1,x_s_d2,x_s_d3,propellers_rpms1,propellers_rpms2,propellers_rpms3,propellers_rpms4,rollRad,pitchRad,yawRad,v_s1,v_s2,v_s3,v_s_d1,v_s_d2,v_s_d3,insideCount
0,-3,0,3,0,0,6,0,0,0,0,0,45.0048027038574,0,0,0,0,2.51327412287183,2.51327412287183,-0.628318530717959,0
0.01999999,-3,-1.75416348113799E-10,3,0.0502651318759909,0.0502641396861051,5.987433717031,0,0,0,0,4.71187426853703E-08,45.0048027038574,-4.57171900336562E-08,3.68531795724258E-15,-8.77082051431444E-09,8.78962147510265E-09,2.51322451303154,2.51307568546915,-0.628306128257884,0
0.03999998,-3,-3.50832696227599E-10,2.99607610702515,0.10052827937221,0.100520342088142,5.97486793015695,0,0,0,0,9.42374782653133E-08,45.0048027038574,-9.14343729618849E-08,3.68531795724258E-15,-8.77082051431444E-09,-0.1961999386549,2.51307568546915,2.51248040459664,-0.628268921367288,0
0.05999998,-3,-5.26248988830247E-10,2.98822808265686,0.150787467548239,0.150760680531453,5.96230313311294,10889.66,11168.74,13401.6,12326.5,1.41356224503397E-07,45.0048027038574,-1.37151587864537E-07,3.68531795724258E-15,-8.77082051431444E-09,-0.392399907112122,2.51282764600469,2.51148837403426,-0.628206911501173,0
0.07999997,-3,-1.20100285272429E-09,2.99847745895386,0.201040684176284,0.200977193423868,5.94973982895593,9879.073,11817.3,13682.99,13296.7,1.10541713237762,44.9470024108887,359.504913330078,6.35247587865706E-08,-3.37377024095531E-08,0.51247102022171,2.51248040459664,2.51009975110014,-0.628120101149161,0
0.09999996,-2.99955701828003,0.000169334569363855,3.02722930908203,0.251285982787691,0.251161988412928,5.93717850430308,0,13459.34,14488.76,17261.7,3.88612079620361,44.9458236694336,358.378875732422,0.0221445634961128,0.00846679322421551,1.43758821487427,2.51203397469478,2.50831475403926,-0.628008493673695,0
0.12,-2.99769997596741,0.000921269704122096,3.07283473014832,0.301521361062907,0.301307122029002,5.92461965973427,5258.351,12507.57,11809.86,13532.33,13.0884504318237,45.6097793579102,355.719696044922,0.0928574725985527,0.037596769630909,2.28027725219727,2.51148837403426,2.50613366516667,-0.627872093508566,0
0.14,-2.99159979820251,0.00375189748592675,3.13381171226501,0.351744835796042,0.351404675777497,5.91206379105099,12786.22,13464.89,9179.324,11558.4,23.6645889282227,46.1323776245117,353.027862548828,0.305003434419632,0.141531437635422,3.04884934425354,2.51084362415446,2.50355682890144,-0.627710906038616,0
0.1599999,-2.97745847702026,0.0106661226600409,3.21055102348328,0.401954386847736,0.401446701415612,5.89951140328807,15840.02,14085.43,8988.708,11931.76,29.8126010894775,46.7016677856445,351.828552246094,0.707064628601074,0.345711439847946,3.83696532249451,2.51009975110014,2.50058465451733,-0.627524937775036,0
0.1799999,-2.95264101028442,0.0230643674731255,3.30349016189575,0.4521481068496,0.451425371298209,5.8869629732876,11328.59,13375.83,11425.75,13677.16,32.9705581665039,47.8148307800293,351.782775878906,1.24087131023407,0.619912266731262,4.64696025848389,2.50925678312967,2.49721760692611,-0.627314195782417,0
0.1999999,-2.91646003723145,0.0413337647914886,3.41156387329102,0.502323976825855,0.501332755911331,5.87441900579354,6963.317,12253.31,12910.46,13715.74,36.2019195556641,49.3067893981934,351.82763671875,1.80904841423035,0.913470029830933,5.40368318557739,2.50831475403926,2.49345621989061,-0.627078688509816,0
0.2199999,-2.86895656585693,0.0653790533542633,3.53258752822876,0.552480015919895,0.551160974303691,5.86187999602003,5610.62,11489.3,12494.58,12166.75,42.0717697143555,50.899959564209,351.348052978516,2.37517666816711,1.2022647857666,6.05118751525879,2.50727370101861,2.48930108737722,-0.626818425254651,0
0.2399999,-2.80973386764526,0.0952177941799164,3.66381025314331,0.602614244058005,0.600902158025261,5.8493464389855,7194.099,11285.5,10508.46,10343.13,50.9704475402832,52.4428215026855,350.557861328125,2.96113777160645,1.49193799495697,6.56113624572754,2.50613366516667,2.48475286552924,-0.626533416291668,0
0.2599999,-2.7376880645752,0.131165519356728,3.80236792564392,0.652724644701686,0.650548415417708,5.83681883882458,9762.384,11138.55,8219.307,9179.811,60.1978607177734,53.9989624023438,350.330780029297,3.60228705406189,1.79738628864288,6.9278883934021,2.50489469245006,2.47981227639034,-0.626223673112514,0
0.2799999,-2.6516854763031,0.173589512705803,3.94564914703369,0.702809351554995,0.700092017615155,5.82429766211125,9780.602,10562.65,7242.77,9199.475,67.3830795288086,56.4957237243652,351.872619628906,4.30013036727905,2.12120199203491,7.16406059265137,2.50355682890144,2.47448008865607,-0.625889207225361,0
0.2999999,-2.55144286155701,0.222566202282906,4.09145975112915,0.752866238099748,0.749524993473992,5.81178344047506,6910.815,9745.117,7643.25,9611.26,73.3911972045898,61.8235664367676,356.603515625,5.01213026046753,2.44883584976196,7.29054355621338,2.50212013132442,2.46875716023003,-0.625530032831105,0
0.3199999,-2.43758583068848,0.277785420417786,4.23780536651611,0.802893402831224,0.798839610873337,5.79927664929219,4272.955,9089.991,7855.026,9208.345,79.4065628051758,74.4807968139648,8.5285530090332,5.69284820556641,2.76095914840698,7.31728792190552,2.50058465451733,2.4626443871732,-0.625146163629334,0
0.3399999,-2.31115221977234,0.3386549949646,4.38277626037598,0.852888945240915,0.848028155677042,5.78677776368977,2883.811,8843.345,7199.442,8156.796,84.6050796508789,125.046966552734,58.0713539123535,6.32168102264404,3.04348087310791,7.24854612350464,2.4989504565894,2.45614272478402,-0.624737614147351,0
