repeat_simulation_ith,dist_between_rope_and_UAV,wind_field,vx_rand,cost
1,0.465460751056593,0.629998683929443,1.0484101150876,1.67840879901704
2,0.63740418293733,0,1.49289036774677,1.49289036774677
3,0.589066563589424,0,0.974715944600625,0.974715944600625
4,0.512171217110222,0,0.838021472096443,0.838021472096443
5,0.486436246554235,0,0.5355469211936,0.5355469211936
6,0.526749666679419,0.549995422363281,0.368664436042309,0.91865985840559
7,0.490621307685749,0,0.665643665939569,0.665643665939569
8,0.412966622576978,0,0.591549180448055,0.591549180448055
9,0.52716173608776,0,0.458086274564266,0.458086274564266
10,2.90663655746838,18.5,-0.497172616422176,18.9971726164222
11,1.20402469896555,4.59998321533203,0.146169815212488,4.74615303054452
12,0.214763956419438,2.04998779296875,0.263099748641253,2.31308754161
13,0.521446324124061,0,0.479225400835276,0.479225400835276
14,0.518146841190308,0,0.493239797651768,0.493239797651768
15,0.510474123907743,0,0.544929146766663,0.544929146766663
16,0.501963422768469,0,0.560359690338373,0.560359690338373
17,0.507999135298168,0.16998291015625,0.414335660636425,0.584318570792675
18,0.513249817687376,0,0.477707758545876,0.477707758545876
19,0.519794680304674,0.07000732421875,0.429357193410397,0.499364517629147
20,0.501245932620118,0,0.517831072211266,0.517831072211266
