repeat_simulation_ith,dist_between_rope_and_UAV,wind_field,vx_rand,cost
1,0.344877721153636,3.5899977684021,0.582550689616497,4.1725484580186
2,0.660603335811368,0,1.69557244106921,1.69557244106921
3,0.667069863527788,0,1.95503665853992,1.95503665853992
4,2.78777286588066,17.0799922943115,-0.297522760927677,17.3775150552392
5,0.49093167659285,0.169994354248047,0.411324232816696,0.581318587064743
6,0.664905480753356,0,1.56130030751228,1.56130030751228
7,0.648667033692099,0,1.39858967810869,1.39858967810869
8,0.499840810171796,0.929996490478516,0.338667683303356,1.26866417378187
9,0.516605876048702,0,0.473293747752905,0.473293747752905
10,0.501066036091868,0,0.448964767158031,0.448964767158031
11,0.4869563671472,0,0.449854049831629,0.449854049831629
12,0.496724415520345,0,0.449988335371017,0.449988335371017
13,0.500954562364538,0,0.450230598449707,0.450230598449707
14,0.504076452358392,0,0.450163874775171,0.450163874775171
15,0.494914428197163,0,0.450123980641365,0.450123980641365
16,0.493712920717426,0,0.450249671936035,0.450249671936035
17,0.508352877421131,0.270004272460938,0.403091065585613,0.673095338046551
18,0.490150372577788,0,0.487262070178986,0.487262070178986
19,0.486685419183613,0,0.460360150784254,0.460360150784254
20,0.4890640191404,0,0.460102245211601,0.460102245211601
