t,x_s1,x_s2,x_s3,x_s_d1,x_s_d2,x_s_d3,propellers_rpms1,propellers_rpms2,propellers_rpms3,propellers_rpms4,rollRad,pitchRad,yawRad,v_s1,v_s2,v_s3,v_s_d1,v_s_d2,v_s_d3,insideCount
0,-0.0599999986588955,2.94000005722046,1.17999994754791,-0.0599999986588955,2.94000005722046,1.17999994754791,0,0,0,0,0,0,0,0,0,0,-1.06581410364015E-15,4.44089209850063E-16,4.44089209850063E-16,0
0.0200042724609375,-0.0599999986588955,2.94000005722046,1.17811644077301,-0.0600018701838461,2.93999925195556,1.18000110611101,0,0,0,0,-0.01635288,0.0001297794,-0.01587137,-1.10653664009419E-09,-7.76775763711157E-08,-0.0941759571433067,-0.000280105751305916,-0.000120521679537258,0.00017339880334547,5
0.040008544921875,-0.0599999986588955,2.94000005722046,1.17242503166199,-0.060014880898484,2.93999365380853,1.18000916036316,0,0,0,0,-0.03270202,0.0005238493,-0.03175127,-1.08383135799528E-09,-7.60859677484405E-08,-0.284568399190903,-0.00111143977225461,-0.000478221483967637,0.00068803416424398,5
0.05999755859375,-0.0599058866500854,2.93990302085876,1.16596508026123,-0.0600498857373401,2.93997859220429,1.18003083002592,1868.186,3252.807,3183.866,1722.401,-0.04942188,0.0003295492,-0.01369504,0.00470568425953388,-0.00484921643510461,-0.322996616363525,-0.00247936261166862,-0.00106680046642749,0.00153484356504269,5
0.0800018310546875,-0.0598203726112843,2.93960738182068,1.16000318527222,-0.0601175574246769,2.93994947496775,1.18007272202403,1925.25,2314.279,3252.324,2829.559,-0.07543138,-0.00213692,0.0209488,0.00427576061338186,-0.0147787351161242,-0.298094898462296,-0.00437268608126799,-0.00188144466206175,0.00270690098422899,5
0.100006103515625,-0.0599374435842037,2.93904495239258,1.15498661994934,-0.0602282404704493,2.93990185114529,1.18014124010193,980.3768,1498.938,3914.7,3896.563,-0.1031938,-0.008062987,0.06330799,-0.00585346762090921,-0.0281162895262241,-0.250830471515656,-0.00677739276378709,-0.00291612276782231,0.00419552897277328,4
0.120010375976563,-0.0604638420045376,2.93818354606628,1.15081322193146,-0.0603920338334453,2.93983137543704,1.18024263599618,346.5406,980.3863,4172.788,4613.338,-0.1214316,-0.01542023,0.1040008,-0.0263198912143707,-0.0430676564574242,-0.208671167492867,-0.00968041450003567,-0.00416521191989172,0.00599263771761404,4
0.139999389648438,-0.0615636147558689,2.93704128265381,1.1472829580307,-0.0606185767455666,2.93973390035084,1.18038287685052,352.9358,747.1381,3975.388,4854.884,-0.1254024,-0.02116627,0.1351043,-0.0549885779619217,-0.0571132302284241,-0.176516234874725,-0.0130660253322238,-0.00562194567796536,0.00808849210174802,4
0.160003662109375,-0.0633408725261688,2.93568086624146,1.14427518844604,-0.0609177895434042,2.93960515744296,1.18056810382587,820.6592,814.7478,3463.238,4692.368,-0.118459,-0.02352423,0.1522699,-0.0888630151748657,-0.0680155083537102,-0.15038737654686,-0.0169265510445065,-0.00728302204135792,0.0104783414199936,3
0.180007934570313,-0.0658468902111053,2.9341721534729,1.14182555675507,-0.0612988491946875,2.93944119812059,1.1808039979024,1348.823,1083.536,3006.401,4255.242,-0.1079795,-0.02277961,0.1557791,-0.125300914049149,-0.0754310637712479,-0.122482128441334,-0.0212468478482708,-0.00914192506089775,0.0131528109458008,3
0.199996948242188,-0.0690849348902702,2.93255376815796,1.14006173610687,-0.0617704296168641,2.93923829023936,1.18109592864822,1636.676,1381.278,2918.124,3666.361,-0.09982806,-0.02030074,0.1501567,-0.161902159452438,-0.080914743244648,-0.0881940424442291,-0.0260104776919234,-0.0111915819022102,0.0161017247421801,3
0.220001220703125,-0.0730102807283401,2.93082594871521,1.13903594017029,-0.0623420644491781,2.93899233174064,1.18144979784016,1641.061,1580.365,3148.815,3113.194,-0.09583918,-0.01735529,0.1421901,-0.196267411112785,-0.0863862559199333,-0.051288116723299,-0.03121219533433,-0.0134297356845702,0.019321835755004,3
0.240005493164063,-0.0775500014424324,2.92897343635559,1.13863348960876,-0.0630219993990999,2.93869977472688,1.18187070996396,1524.163,1624.349,3417.488,2777.52,-0.09475474,-0.01467775,0.1377341,-0.226986080408096,-0.0926245748996735,-0.0201252494007349,-0.0368361158647881,-0.0158495515746756,0.0228033104678445,3
0.260009765625,-0.0826388821005821,2.92699241638184,1.13863575458527,-0.0638185570309634,2.93835703823113,1.18236381708338,1439.295,1501.026,3532.899,2744.081,-0.09438989,-0.0125877,0.1393008,-0.254444181919098,-0.0990569442510605,0.000114446505904198,-0.0428699302682246,-0.0184457333472145,0.0265385290140116,3
0.279998779296875,-0.0882447585463524,2.92490077018738,1.13885235786438,-0.0647390625194898,2.93796097043536,1.18293365383054,1400.59,1276.006,3476.638,2977.613,-0.0932149,-0.01110538,0.1456818,-0.28029391169548,-0.104583531618118,0.0108330622315407,-0.0492963837173861,-0.0212108567320638,0.030516809833474,3
0.300003051757813,-0.094370573759079,2.92273259162903,1.13920748233795,-0.0657927507678135,2.93750759781875,1.18358593705038,1349.986,1061.227,3346.082,3324.822,-0.09053469,-0.009935722,0.1533111,-0.3062903881073,-0.108408212661743,0.0177577249705791,-0.0561132031658829,-0.0241439437008635,0.0347367458022363,3
0.32000732421875,-0.101035848259926,2.92052578926086,1.13972544670105,-0.0669865614821475,2.93699393441958,1.18432496275165,1281.047,941.2823,3237.118,3590.589,-0.08597643,-0.008523713,0.1583617,-0.333264291286469,-0.110344089567661,0.0258992724120617,-0.0633036493784043,-0.0272377918282996,0.0391879745362408,3
0.339996337890625,-0.108251392841339,2.91831207275391,1.1404618024826,-0.068326768706371,2.93641728069206,1.18515461486636,1253.748,944.4605,3170.308,3649.687,-0.07944689,-0.006291452,0.158477,-0.360777258872986,-0.110679946839809,0.0368190631270409,-0.0708499516420146,-0.0304847548730522,0.0438594951176439,4
0.360000610351563,-0.116002976894379,2.91611480712891,1.14145302772522,-0.0698225328270578,2.93577369517774,1.1860805641102,1319.168,1046.768,3121.576,3498.256,-0.07154902,-0.002963566,0.1534756,-0.387579143047333,-0.109858825802803,0.0495634600520134,-0.0787518717320621,-0.0338847303337087,0.0487511600740379,4
0.3800048828125,-0.124251335859299,2.91394972801208,1.14270794391632,-0.0714797725314022,2.93506063123087,1.18710647443246,1455.19,1181.678,3090.585,3231.6,-0.06361227,0.001258216,0.1450406,-0.412418156862259,-0.1082573980093,0.0627445727586746,-0.0869921272359981,-0.0374302820709642,0.0538522707687797,4
0.400009155273438,-0.132943123579025,2.91182637214661,1.14421737194061,-0.0733051402689975,2.93427522648826,1.18823646401636,1580.172,1273.976,3104.168,2981.448,-0.05701775,0.005826921,0.135746,-0.434589564800262,-0.106164842844009,0.0754720345139503,-0.0955591682828665,-0.0411164404980124,0.0591556772815509,4
0.419998168945313,-0.142023503780365,2.90975046157837,1.14595794677734,-0.0753034649285836,2.93341540321397,1.18947352217404,1631.414,1288.663,3159.034,2844.61,-0.0524451,0.01017606,0.1278542,-0.454019397497177,-0.103801384568214,0.0870306417346001,-0.104434660908044,-0.0449353170220673,0.0646500300148815,4
0.44000244140625,-0.151445984840393,2.90772461891174,1.14789617061615,-0.077483988232608,2.93247718495301,1.19082336997196,1605.804,1237.665,3220.604,2843.247,-0.04966156,0.01397351,0.1224637,-0.471123844385147,-0.101291887462139,0.0969123020768166,-0.113620829717891,-0.048887868829098,0.0703367061060819,4
0.460006713867188,-0.161176696419716,2.90575170516968,1.14999735355377,-0.0798512213598696,2.93145863067119,1.19228880004469,1541.621,1158.325,3252.261,2938.416,-0.04788364,0.01718543,0.119343,-0.486535429954529,-0.0986415147781372,0.105058498680592,-0.123099793815011,-0.0529664022684887,0.0762046364278779,4
0.479995727539063,-0.171193510293961,2.9038360118866,1.15223920345306,-0.0824088828700873,2.93035814037613,1.19387211435783,1475.564,1086.523,3247.399,3066.317,-0.04628627,0.01998856,0.1173758,-0.50084125995636,-0.095778800547123,0.112092286348343,-0.132852887402757,-0.0571628859694044,0.0822422659629699,5
0.5,-0.18148098886013,2.9019832611084,1.15461623668671,-0.085166398670376,2.92917165836334,1.1955791479969,1430.861,1045.904,3217.472,3169.929,-0.04433471,0.02264287,0.1152261,-0.514374375343323,-0.0926398485898972,0.118848763406277,-0.142884000065179,-0.0614789935111996,0.0884520025491718,5
0.520004272460938,-0.192024201154709,2.90019869804382,1.15713512897491,-0.088127196023106,2.92789770997757,1.19741202260058,1423.233,1045.025,3177.096,3211.013,-0.04191762,0.02537779,0.1118895,-0.527160346508026,-0.0892282947897911,0.125942185521126,-0.153174893518032,-0.065906877469682,0.0948225558197254,5
0.540008544921875,-0.202804490923882,2.89848589897156,1.15981018543243,-0.0912963635428427,2.92653410573011,1.19937388826368,1446.768,1073.759,3148.086,3183.832,-0.03929175,0.02829025,0.1070464,-0.539014577865601,-0.085638515651226,0.133750632405281,-0.163714777034477,-0.0704418948965508,0.101347245800684,5
0.55999755859375,-0.21379779279232,2.89684534072876,1.16265332698822,-0.094676112580471,2.92507989413848,1.20146611391775,1484.241,1113.943,3138.775,3114.032,-0.03689384,0.0313281,0.1010553,-0.549665570259094,-0.0820309445261955,0.14215561747551,-0.17448465888317,-0.0750758741803766,0.108014315705644,5
0.580001831054688,-0.224976137280464,2.89527368545532,1.16566896438599,-0.0982762614093182,2.92353085067394,1.20369477754168,1519.373,1148.366,3147.313,3035.497,-0.03513402,0.03434312,0.0946591,-0.558917701244354,-0.0785779431462288,0.15078204870224,-0.185490414529404,-0.0798113433697334,0.11482740272751,5
0.600006103515625,-0.236310809850693,2.89376521110535,1.16885221004486,-0.102098762959148,2.92188613504538,1.20606108809202,1540.74,1167.059,3162.674,2979.456,-0.03428713,0.03716035,0.08862019,-0.566734611988068,-0.0754219442605972,0.159162506461143,-0.196713446836865,-0.0846403006364086,0.121774994352997,5
0.6199951171875,-0.24777615070343,2.89231181144714,1.17219495773315,-0.106144683970236,2.92014528826426,1.20856570593183,1536.9,1167.651,3181.082,2962.783,-0.03441443,0.03963418,0.08345431,-0.573266506195068,-0.0726662576198578,0.167134925723076,-0.208134604141382,-0.0895545055543457,0.128845234789665,5
0.639999389648438,-0.259351432323456,2.89090418815613,1.17568778991699,-0.110424235525481,2.91830391678686,1.21121495220784,1505.379,1156.07,3195.996,2987.528,-0.03534654,0.04169716,0.07929979,-0.578764975070953,-0.0703803226351738,0.174643397331238,-0.219761081350814,-0.0945570538913933,0.136042578028218,5
