t,x_s1,x_s2,x_s3,x_s_d1,x_s_d2,x_s_d3,propellers_rpms1,propellers_rpms2,propellers_rpms3,propellers_rpms4,rollRad,pitchRad,yawRad,v_s1,v_s2,v_s3,v_s_d1,v_s_d2,v_s_d3,insideCount
10.42,-2.99999856948853,1.64379823207855,3.0444507598877,-3.00000071525574,1.64379715919495,3.044442653656,2125.573,2127.464,2132.021,2130.13,359.993957519531,45.0000076293945,0.00238055805675685,2.70399850705871E-05,1.2178828001197E-05,-4.54869550594594E-05,0,0,0,0
10.44,-2.99999833106995,1.64379835128784,3.04444980621338,-3.00000071525574,1.64379715919495,3.044442653656,2127.578,2128.344,2130.017,2129.251,-0.00315249804407358,45.0000076293945,0.00120391801465303,6.66234518575948E-06,3.26470399159007E-06,-4.29994906880893E-05,0,0,0,0
10.46,-2.99999833106995,1.64379835128784,3.04444909095764,-3.00000071525574,1.64379715919495,3.044442653656,2130.244,2129.395,2127.352,2128.201,0.000811262172646821,45.0000076293945,-0.000372538255760446,-3.8919524740777E-06,-1.47449645737652E-06,-4.04988422815222E-05,0,0,0,0
10.48,-2.99999833106995,1.64379835128784,3.0444483757019,-3.00000071525574,1.64379715919495,3.044442653656,2131.723,2129.97,2125.871,2127.624,0.00350339384749532,45.0000076293945,-0.00142413529101759,-1.02100489129953E-06,-4.30784780292015E-07,-3.79542470909655E-05,0,0,0,0
10.5,-2.99999809265137,1.64379835128784,3.04444766044617,-3.00000071525574,1.64379715919495,3.044442653656,2131.44,2129.84,2126.153,2127.753,0.00362305599264801,45.0000076293945,-0.00144316488876939,1.09190123112057E-05,4.57735586678609E-06,-3.54404146492016E-05,0,0,0,0
10.52,-2.99999761581421,1.64379858970642,3.04444694519043,-3.00000071525574,1.64379715919495,3.044442653656,2129.734,2129.167,2127.858,2128.425,0.00141830835491419,45.0000076293945,-0.000545198970939964,2.31689446081873E-05,9.82523852144368E-06,-3.30364528053906E-05,0,0,0,0
10.54,-2.99999690055847,1.64379906654358,3.04444622993469,-3.00000071525574,1.64379715919495,3.044442653656,2127.733,2128.338,2129.857,2129.253,-0.00160934601444751,45.0000076293945,0.000677670526783913,2.78993520623771E-05,1.1889310371771E-05,-3.06368856399786E-05,0,0,0,0
10.56,-2.99999666213989,1.64379906654358,3.04444575309753,-3.00000071525574,1.64379715919495,3.044442653656,2126.57,2127.866,2131.02,2129.724,-0.00370120629668236,45.0000076293945,0.0014981800923124,2.23503338929731E-05,9.62935700954404E-06,-2.82944511127425E-05,0,0,0,0
10.58,-2.99999618530273,1.64379918575287,3.04444527626038,-3.00000071525574,1.64379715919495,3.044442653656,2126.625,2127.966,2130.962,2129.622,-0.00383285456337035,45.0000076293945,0.00150044623296708,9.74955219135154E-06,4.32591787102865E-06,-2.60047545452835E-05,0,0,0,0
10.6,-2.99999618530273,1.64379918575287,3.04444479942322,-3.00000071525574,1.64379715919495,3.044442653656,2128.048,2128.534,2129.537,2129.052,-0.00205206521786749,45.0000076293945,0.000774082320276648,-3.18452293868177E-06,-1.32835339172743E-06,-2.38425072893733E-05,0,0,0,0
