repeat_simulation_ith,dist_between_rope_and_UAV,wind_field
1,0.559562536761551,0
2,0.559642152009653,0
3,0.725193487973257,0
4,0.72595363563042,0
5,0.754866451234468,0
6,0.765237236998579,0
7,0.7541349111065,0
8,0.735433549379428,0
9,0.736081485421942,0
10,0.766502975908437,0
11,0.747930049915877,0
12,0.748636547615171,0
13,0.739813340514976,0
14,0.740504790110135,0
15,0.731047153059627,0
16,0.731514975646559,0
17,0.73133135115282,0
18,0.72971318279119,0
19,0.730252190922441,0
20,0.730738421896804,0
